Label,inflation,inflation.expectations
5/1/1991,-0.222621042,0.106950886
6/1/1991,0,0
7/1/1991,0.177746675,-0.519306627
8/1/1991,-0.033089231,0.303664816
9/1/1991,0,0
10/1/1991,-0.15862098,0.308254898
11/1/1991,-0.157961353,0.483368296
12/1/1991,0.47692166,0.313833981
1/1/1992,0,0
2/1/1992,0.587017289,0.314597504
3/1/1992,0.635323208,-0.059559206
4/1/1992,0,0
5/1/1992,0.613951771,-1.743012601
6/1/1992,0,0
7/1/1992,0.438720267,0.483368296
8/1/1992,0.353452363,0.483368296
9/1/1992,0,0
10/1/1992,0.14982281,0.305572328
11/1/1992,0.345832025,0.483368296
12/1/1992,0.077257939,0.483368296
1/1/1993,0,0
2/1/1993,-0.151083604,-0.191380087
3/1/1993,0.136174386,-0.033921257
4/1/1993,0,0
5/1/1993,0.414883592,0.141415427
6/1/1993,0,0
7/1/1993,0.737200943,-0.369798504
8/1/1993,0.171894285,0.31550725
9/1/1993,1.429939563,0.135920859
10/1/1993,0,0
11/1/1993,0.228251257,-0.215121381
12/1/1993,0.246997774,0.483368296
1/1/1994,0,0
2/1/1994,0.662856006,0.483368296
3/1/1994,-0.171869026,0.483368296
4/1/1994,0,0
5/1/1994,-0.367269938,0.483368296
6/1/1994,0,0
7/1/1994,0.452503134,0.318406588
8/1/1994,0.042164317,0.483368296
9/1/1994,0.627786848,0.483368296
10/1/1994,0,0
11/1/1994,0.856805752,-0.018234554
12/1/1994,1.010211819,0.483368296
1/1/1995,0,0
2/1/1995,0.831352749,0.483368296
3/1/1995,0.851663011,0.172159659
4/1/1995,0,0
5/1/1995,1.229819866,0.483368296
6/1/1995,0,0
7/1/1995,0.369005793,0.483368296
8/1/1995,0.397468728,0.483368296
9/1/1995,0.348814322,0.483368296
10/1/1995,0,0
11/1/1995,1.179949351,0.483368296
12/1/1995,0.548910257,0.483368296
1/1/1996,0.706235774,0.317509419
2/1/1996,0,0
3/1/1996,1.224904424,0.483368296
4/1/1996,0,0
5/1/1996,-0.882442416,0.483368296
6/1/1996,0,0
7/1/1996,0.74967332,0.315583681
8/1/1996,0.402569361,0.318658513
9/1/1996,0.573106966,0.483368296
